baths,beds,city,latitude,longitude,price,sale_date,sq__ft,state,street,type,zip,n_price,s_price,n_sq__ft,s_sq__ft
1,2,RIO LINDA,38.689591,-121.452239,113263.0,Wed May 21 00:00:00 EDT 2008,844,CA,6715 6TH ST,Residential,95673,0.12647992219546464,-0.875155112752457,0.1449673651666094,-0.5520399993874142
1,2,CITRUS HEIGHTS,38.679776,-121.314089,116250.0,Wed May 21 00:00:00 EDT 2008,795,CA,6236 LONGFORD DR Unit 1,Condo,95621,0.12986179278768262,-0.8535730669774924,0.13655101339745793,-0.6094810649198857
1,2,SACRAMENTO,38.612099,-121.469095,120000.0,Wed May 21 00:00:00 EDT 2008,588,CA,250 PERALTA AVE,Residential,95833,0.1341075292191581,-0.8264780982275368,0.10099622122981793,-0.8521402601284902
2,3,RIO LINDA,38.689999,-121.46322,,Wed May 21 00:00:00 EDT 2008,1356,CA,113 LEEWILL AVE,Residential,95673,,,0.23290965304019237,0.04816052209473794
2,3,CITRUS HEIGHTS,38.707851,-121.320707,122000.0,Wed May 21 00:00:00 EDT 2008,1118,CA,6118 STONEHAND AVE,Residential,95621,0.13637192198261172,-0.8120274482275605,0.19203023016145654,-0.23083893906298122
2,4,SACRAMENTO,38.468173,-121.444071,122682.0,Wed May 21 00:00:00 EDT 2008,1329,CA,4882 BANDALIN WAY,Residential,95823,0.1371440799149494,-0.8070997765775686,0.2282720714531089,0.016509322719702568
2,4,NORTH HIGHLANDS,38.702792,-121.38221,123000.0,Wed May 21 00:00:00 EDT 2008,1240,CA,7511 OAKVALE CT,Residential,95660,0.13750411836433854,-0.8048021232275724,0.21298522844383375,-0.08782240855356216
2,3,SACRAMENTO,38.628631,-121.488097,124100.0,Wed May 21 00:00:00 EDT 2008,1601,CA,9 PASTURE CT,Residential,95834,0.138749534384238,-0.7968542657275853,0.27499141188594983,0.3353658497570959
2,3,NORTH HIGHLANDS,38.701499,-121.37622,125000.0,Wed May 21 00:00:00 EDT 2008,901,CA,3729 BAINBRIDGE DR,Residential,95660,0.13976851112779215,-0.790351473227596,0.15475781518378565,-0.485220800706784
2,3,ANTELOPE,38.70974,-121.37377,126640.0,Wed May 21 00:00:00 EDT 2008,1088,CA,3828 BLACKFOOT WAY,Residential,95843,0.1416253131938241,-0.7785019402276154,0.1868773617313638,-0.2660069383685761
1,3,SACRAMENTO,38.537526,-121.478315,127281.0,Wed May 21 00:00:00 EDT 2008,963,CA,4108 NORTON WAY,Residential,95820,0.142351051074511,-0.773870506902623,0.16540707660597734,-0.4125402688085546
2,3,SACRAMENTO,38.476472,-121.501711,129000.0,Wed May 21 00:00:00 EDT 2008,1119,CA,1469 JANRICK AVE,Residential,95832,0.14429729665469934,-0.7614501732276434,0.19220199244245964,-0.2296666724194614
2,4,SACRAMENTO,38.558423,-121.327948,131200.0,Wed May 21 00:00:00 EDT 2008,1380,CA,9861 CULP WAY,Residential,95827,0.1467881286944983,-0.7455544582276694,0.23703194778426656,0.07629492153921381
2,3,SACRAMENTO,38.472122,-121.404199,132000.0,Wed May 21 00:00:00 EDT 2008,1248,CA,7825 CREEK VALLEY CIR,Residential,95828,0.14769388579987977,-0.7397741982276789,0.21435932669185848,-0.07844427540540352
2,2,ELK GROVE,38.423251,-121.444489,133000.0,Wed May 21 00:00:00 EDT 2008,1039,CA,5201 LAGUNA OAKS DR Unit 140,Condo,95758,0.14882608218160656,-0.7325488732276907,0.17846100996221229,-0.32344800390104766
2,3,NORTH HIGHLANDS,38.691161,-121.37192,134555.0,Wed May 21 00:00:00 EDT 2008,1152,CA,6768 MEDORA DR,Residential,95660,0.15058664755519174,-0.7213134928527092,0.19787014771556166,-0.19098187318330706
2,3,SACRAMENTO,38.566663,-121.332644,136500.0,Wed May 21 00:00:00 EDT 2008,1380,CA,3100 EXPLORER DR,Residential,95827,0.15278876951765039,-0.7072602357277322,0.23703194778426656,0.07629492153921381
2,3,ELVERTA,38.713182,-121.411227,138750.0,Wed May 21 00:00:00 EDT 2008,1116,CA,7944 DOMINION WAY,Residential,95626,0.1553362113765357,-0.6910032544777588,0.19168670559945036,-0.23318347235002088
2,2,ELK GROVE,38.423251,-121.444489,141000.0,Wed May 21 00:00:00 EDT 2008,1039,CA,5201 LAGUNA OAKS DR Unit 162,Condo,95758,0.157883653235421,-0.6747462732277855,0.17846100996221229,-0.32344800390104766
2,3,SACRAMENTO,38.48742,-121.462459,146250.0,Wed May 21 00:00:00 EDT 2008,1418,CA,3920 SHINING STAR DR,Residential,95823,0.1638276842394867,-0.6368133169778476,0.24355891446238406,0.1208410539929673
2,3,NORTH HIGHLANDS,38.65824600000001,-121.375469,147308.0,Wed May 21 00:00:00 EDT 2008,1082,CA,5031 CORVAIR ST,Residential,95660,0.16502554801135366,-0.6291689231278601,0.18584678804534524,-0.27304053822969504
2,4,SACRAMENTO,38.479553,-121.463317,148750.0,Wed May 21 00:00:00 EDT 2008,1472,CA,7661 NIXOS WAY,Residential,95823,0.16665817519380371,-0.6187500044778772,0.252834077636551,0.18414345274303803
2,4,SACRAMENTO,38.49857,-121.420925,149593.0,Wed May 21 00:00:00 EDT 2008,1146,CA,7044 CARTHY WAY,Residential,95828,0.16761261674359942,-0.6126590555028872,0.1968395740295431,-0.19801547304442602
1,1,SACRAMENTO,38.58514,-121.403736,150000.0,Wed May 21 00:00:00 EDT 2008,760,CA,2442 LARKSPUR LN,Condo,95825,0.16807342067096223,-0.6097183482278921,0.1305393335623497,-0.6505103974430798
2,2,SACRAMENTO,38.658812,-121.542345,152000.0,Wed May 21 00:00:00 EDT 2008,1304,CA,4800 WESTLAKE PKWY Unit 2109,Condo,95835,0.1703378134344158,-0.5952676982279157,0.2239780144280316,-0.01279734336829314
2,3,SACRAMENTO,38.493955,-121.48966,154000.0,Wed May 21 00:00:00 EDT 2008,1207,CA,2178 63RD AVE,Residential,95822,0.17260220619786942,-0.5808170482279393,0.2073170731707317,-0.1265072077897165
2,3,ELK GROVE,38.41653,-121.379653,156896.0,Wed May 21 00:00:00 EDT 2008,1056,CA,8718 ELK WAY,Residential,95624,0.17588104691935025,-0.5598925070279737,0.18138096873926485,-0.30351947096121057
2,2,ANTELOPE,38.72027,-121.331555,161250.0,Wed May 21 00:00:00 EDT 2008,1043,CA,5708 RIDGEPOINT DR,Residential,95843,0.18081062996538877,-0.5284334419780252,0.17914805908622466,-0.31875893732696836
2,4,NORTH HIGHLANDS,38.699251,-121.371414,161500.0,Wed May 21 00:00:00 EDT 2008,1587,CA,7315 KOALA CT,Residential,95660,0.18109367906082047,-0.5266271107280281,0.2725867399519066,0.31895411674781826
1,4,SACRAMENTO,38.613765,-121.488694,164000.0,Wed May 21 00:00:00 EDT 2008,1120,CA,2622 ERIN DR,Residential,95833,0.18392417001513747,-0.5085637982280578,0.19237375472346271,-0.22849440577594154
2,4,SACRAMENTO,38.450543,-121.432538,165000.0,Wed May 21 00:00:00 EDT 2008,1580,CA,8421 SUNBLAZE WAY,Residential,95823,0.18505636639686426,-0.5013384732280696,0.2713844039848849,0.3107482502431795
1,4,SACRAMENTO,38.489405,-121.452811,166357.0,Wed May 21 00:00:00 EDT 2008,1955,CA,7420 ALIX PKWY,Residential,95823,0.18659275688686755,-0.4915337072030857,0.3357952593610443,0.7503482415631151
2,4,SACRAMENTO,38.636748,-121.422159,166357.0,Wed May 21 00:00:00 EDT 2008,1656,CA,3820 NATOMA WAY,Residential,95838,0.18659275688686755,-0.4915337072030857,0.2844383373411199,0.3998405151506864
2,3,SACRAMENTO,38.499954,-121.454469,168000.0,Wed May 21 00:00:00 EDT 2008,1477,CA,4431 GREEN TREE DR,Residential,95823,0.1884529555420447,-0.47966249822810514,0.25369288904156645,0.19000478596063716
2,3,ELK GROVE,38.415518,-121.370527,170000.0,Wed May 21 00:00:00 EDT 2008,1188,CA,9417 SARA ST,Residential,95624,0.19071734830549827,-0.46521184822812883,0.20405358983167296,-0.14878027401659322
2,4,SACRAMENTO,38.473814,-121.4,173000.0,Wed May 21 00:00:00 EDT 2008,1590,CA,8299 HALBRITE WAY,Residential,95828,0.1941139374506787,-0.44353587322816435,0.27310202679491585,0.3224709166783778
2,3,SACRAMENTO,38.477553,-121.419463,174250.0,Wed May 21 00:00:00 EDT 2008,1463,CA,7223 KALLIE KAY LN,Residential,95823,0.1955291829278372,-0.43450421697817915,0.2512882171075232,0.17359305295135957
2,4,SACRAMENTO,38.474853,-121.406326,174313.0,Wed May 21 00:00:00 EDT 2008,1714,CA,8156 STEINBECK WAY,Residential,95828,0.19560051129988598,-0.43404902150317987,0.29440054963929924,0.4678319804748365
2,3,SACRAMENTO,38.465184,-121.434925,178480.0,Wed May 21 00:00:00 EDT 2008,1185,CA,7957 VALLEY GREEN DR,Residential,95823,0.20031837362254157,-0.4039410922282292,0.20353830298866368,-0.15229707394715272
2,3,GALT,38.287789,-121.294715,178760.0,Wed May 21 00:00:00 EDT 2008,1406,CA,1122 WILD POPPY CT,Residential,95632,0.2006353886094251,-0.4019180012282325,0.24149776709034695,0.10677385427072936
2,4,SACRAMENTO,38.665724,-121.358576,179580.0,Wed May 21 00:00:00 EDT 2008,1943,CA,4520 BOMARK WAY,Multi-Family,95842,0.20156378964244107,-0.3959932347282422,0.3337341119890072,0.7362810418408772
2,3,SACRAMENTO,38.547011,-121.366217,181000.0,Wed May 21 00:00:00 EDT 2008,1172,CA,9012 KIEFER BLVD,Residential,95826,0.20317150850449311,-0.38573327322825907,0.2013053933356235,-0.1675365403129105
1,3,CARMICHAEL,38.662105,-121.313945,181872.0,Wed May 21 00:00:00 EDT 2008,1152,CA,5332 SANDSTONE ST,Residential,95608,0.2041587837493589,-0.3794327898282694,0.19787014771556166,-0.19098187318330706
3,4,SACRAMENTO,38.4473,-121.435218,182587.0,Wed May 21 00:00:00 EDT 2008,1851,CA,5993 SAWYER CIR,Residential,95823,0.20496830416229356,-0.3742666824532778,0.3179319821367228,0.628432510637053
2,3,ANTELOPE,38.714609,-121.347887,182716.0,Wed May 21 00:00:00 EDT 2008,1215,CA,4844 CLYDEBANK WAY,Residential,95843,0.2051143574955363,-0.37333461552827935,0.20869117141875645,-0.11712907464155786
2,3,GALT,38.260443,-121.297864,182750.0,Wed May 21 00:00:00 EDT 2008,1130,CA,306 CAMELLIA WAY,Residential,95632,0.20515285217251503,-0.3730889544782798,0.19409137753349365,-0.21677173934074329
2,4,ORANGEVALE,38.664186,-121.21751100000002,183200.0,Wed May 21 00:00:00 EDT 2008,1603,CA,9021 MADISON AVE,Residential,95662,0.20566234054429208,-0.3698375582282851,0.27533493644795604,0.33771038304413553
1,3,GALT,38.251808,-121.302493,188741.0,Wed May 21 00:00:00 EDT 2008,1479,CA,404 6TH ST,Residential,95632,0.2119358406954403,-0.3298020324033507,0.25403641360357265,0.19234931924767681
2,3,SACRAMENTO,38.459041,-121.424644,189000.0,Wed May 21 00:00:00 EDT 2008,1420,CA,8317 SUNNY CREEK WAY,Residential,95823,0.21222907955830755,-0.3279306732283538,0.24390243902439024,0.12318558728000695
2,3,SACRAMENTO,38.560767,-121.377471,192067.0,Wed May 21 00:00:00 EDT 2008,1280,CA,2617 BASS CT,Residential,95826,0.21570152586106364,-0.3057706014533901,0.2198557196839574,-0.04093174281276902
2,3,ELK GROVE,38.422811,-121.423285,194000.0,Wed May 21 00:00:00 EDT 2008,1586,CA,7005 TIANT WAY,Residential,95758,0.21789006146694156,-0.291804048228413,0.27241497767090345,0.31778185010429844
2,3,ANTELOPE,38.711279,-121.393449,194818.0,Wed May 21 00:00:00 EDT 2008,1362,CA,7895 CABER WAY,Residential,95843,0.21881619810719408,-0.28589373237842264,0.23394022672621093,0.055194121955856906
4,4,SACRAMENTO,38.48009,-121.415102,195000.0,Wed May 21 00:00:00 EDT 2008,2162,CA,7624 BOGEY CT,Multi-Family,95828,0.21902225784866836,-0.2845787232284248,0.3713500515286843,0.9930074367717195
2,3,SACRAMENTO,38.44004,-121.421012,198000.0,Wed May 21 00:00:00 EDT 2008,1266,CA,6930 HAMPTON COVE WAY,Residential,95823,0.22241884699384878,-0.2629027482284603,0.2174510477499141,-0.057343475822046616
2,4,ELK GROVE,38.44076,-121.385792,199500.0,Wed May 21 00:00:00 EDT 2008,1715,CA,8708 MESA BROOK WAY,Residential,95624,0.22411714156643897,-0.2520647607284781,0.2945723119203023,0.4690042471183563
2,3,FOLSOM,38.687742,-121.17104,200000.0,Wed May 21 00:00:00 EDT 2008,1820,CA,120 GRANT LN,Residential,95630,0.2246832397573024,-0.24845209822848402,0.31260735142562696,0.5920922446879383
1,3,CARMICHAEL,38.664468,-121.32683,200000.0,Wed May 21 00:00:00 EDT 2008,936,CA,5907 ELLERSLEE DR,Residential,95608,0.2246832397573024,-0.24845209822848402,0.16076949501889384,-0.44419146818358995
0,0,SACRAMENTO,38.631481,-121.50188,206000.0,Wed May 21 00:00:00 EDT 2008,0,CA,17 SERASPI CT,Residential,95834,0.2314764180476632,-0.20510014822855505,0.0,-1.5414330465181494
2,3,SACRAMENTO,38.653439,-121.535169,208000.0,Wed May 21 00:00:00 EDT 2008,1511,CA,170 PENHOW CIR,Residential,95834,0.2337408108111168,-0.19064949822857874,0.2595328065956716,0.22986185184031133
2,4,SACRAMENTO,38.454349,-121.439239,212864.0,Wed May 21 00:00:00 EDT 2008,1590,CA,8345 STAR THISTLE WAY,Residential,95823,0.23924781401183598,-0.15550551742863633,0.27310202679491585,0.3224709166783778
2,4,ELK GROVE,38.427818,-121.424026,221000.0,Wed May 21 00:00:00 EDT 2008,1596,CA,9080 FRESCA WAY,Residential,95758,0.24845936377356526,-0.09672027322873265,0.2741326004809344,0.32950451653949675
2,2,SACRAMENTO,38.67307,-121.506373,221000.0,Wed May 21 00:00:00 EDT 2008,1341,CA,391 NATALINO CIR,Residential,95835,0.24845936377356526,-0.09672027322873265,0.23033321882514599,0.03057652244194051
3,5,ELK GROVE,38.435436,-121.39453600000002,223058.0,Wed May 21 00:00:00 EDT 2008,2136,CA,8373 BLACKMAN WAY,Residential,95624,0.250789423927159,-0.08185055437875702,0.3668842322226039,0.9625285040402041
2,4,ELK GROVE,38.400676,-121.38101,227887.0,Wed May 21 00:00:00 EDT 2008,1616,CA,9837 CORTE DORADO CT,Residential,95624,0.25625680025451775,-0.0469594599538142,0.2775678461009962,0.3529498494098933
2,3,SACRAMENTO,38.491399,-121.443547,231477.0,Wed May 21 00:00:00 EDT 2008,1478,CA,5037 J PKWY,Residential,95823,0.260321385264917,-0.021020543203856705,0.2538646513225696,0.191177052604157
2,3,RANCHO CORDOVA,38.593699,-121.31089,234697.0,Wed May 21 00:00:00 EDT 2008,1287,CA,10245 LOS PALOS DR,Residential,95670,0.2639670576140773,0.002245003296105169,0.22105805565097905,-0.032725876308130224
2,4,CITRUS HEIGHTS,38.702855,-121.31308,235000.0,Wed May 21 00:00:00 EDT 2008,1277,CA,6613 NAVION DR,Residential,95621,0.2643101131177405,0.004434276771101581,0.21934043284094812,-0.044448542743328504
2,4,SACRAMENTO,38.618457,-121.509439,236000.0,Wed May 21 00:00:00 EDT 2008,1448,CA,2887 AZEVEDO DR,Residential,95833,0.2654423094994673,0.011659601771089741,0.2487117828924768,0.15600905329856216
3,4,SACRAMENTO,38.463355,-121.358936,236685.0,Wed May 21 00:00:00 EDT 2008,2235,CA,9186 KINBRACE CT,Residential,95829,0.26621786402095016,0.01660894939608163,0.38388869804191,1.078582901748667
2,3,MATHER,38.547991,-121.280483,237800.0,Wed May 21 00:00:00 EDT 2008,2093,CA,4243 MIDDLEBURY WAY,Residential,95655,0.26748026298657557,0.02466518677106843,0.35949845413947096,0.9121210383688514
2,3,RIO LINDA,38.693818,-121.441153,240122.0,Wed May 21 00:00:00 EDT 2008,1193,CA,1028 FALLON PLACE CT,Residential,95673,0.27010922298494516,0.04144239142104093,0.2049124012366884,-0.1429189407989941
2,3,ELK GROVE,38.400974,-121.448424,242638.0,Wed May 21 00:00:00 EDT 2008,2163,CA,4804 NORIKER DR,Residential,95757,0.27295782908136984,0.05962130912101115,0.3715218138096874,0.9941797034152394
2,3,SACRAMENTO,38.478198,-121.412911,244000.0,Wed May 21 00:00:00 EDT 2008,1269,CA,7713 HARVEST WOODS DR,Residential,95828,0.2744998805532817,0.06946220177099502,0.2179663345929234,-0.05382667589148713
0,0,SACRAMENTO,38.626671,-121.52597,244500.0,Wed May 21 00:00:00 EDT 2008,0,CA,2866 KARITSA AVE,Residential,95833,0.2750659787441451,0.0730748642709891,0.0,-1.5414330465181494
1,3,SACRAMENTO,38.502519,-121.420769,244960.0,Wed May 21 00:00:00 EDT 2008,958,CA,6913 RICHEVE WAY,Residential,95828,0.27558678907973944,0.07639851377098365,0.16454826520096186,-0.41840160202615373
3,5,ELK GROVE,38.443832,-121.382087,245918.0,Wed May 21 00:00:00 EDT 2008,2508,CA,8636 TEGEA WAY,Residential,95624,0.27667143321343374,0.08332037512097232,0.43077980075575406,1.3986116954295802
2,3,CITRUS HEIGHTS,38.665395,-121.293288,250000.0,Wed May 21 00:00:00 EDT 2008,1305,CA,5448 MAIDSTONE WAY,Residential,95621,0.28129305884364253,0.11281415177092398,0.2241497767090347,-0.011625076724773312
2,4,ELK GROVE,38.444909,-121.412345,250000.0,Wed May 21 00:00:00 EDT 2008,1591,CA,18 OLLIE CT,Residential,95758,0.28129305884364253,0.11281415177092398,0.2732737890759189,0.3236431833218976
2,2,CARMICHAEL,38.637028,-121.31296299999998,250134.0,Wed May 21 00:00:00 EDT 2008,1326,CA,4010 ALEX LN,Condo,95608,0.28144477315879396,0.11378234532092239,0.22775678461009963,0.012992522789143084
2,3,ELK GROVE,38.38692,-121.447349,254200.0,Wed May 21 00:00:00 EDT 2008,1843,CA,4901 MILLNER WAY,Residential,95757,0.2860482836468951,0.14316051677087424,0.31655788388869804,0.6190543774888944
2,4,SACRAMENTO,38.653917,-121.34218,254200.0,Wed May 21 00:00:00 EDT 2008,1921,CA,4818 BRITTNEY LEE CT,Residential,95841,0.2860482836468951,0.14316051677087424,0.3299553418069392,0.710491175683441
3,5,ELK GROVE,38.42568,-121.43806200000002,258000.0,Wed May 21 00:00:00 EDT 2008,2790,CA,5529 LAGUNA PARK DR,Residential,95758,0.29035062989745697,0.17061675177082927,0.4792167639986259,1.7291908889021719
2,3,SACRAMENTO,38.656251,-121.547572,260000.0,Wed May 21 00:00:00 EDT 2008,1541,CA,230 CANDELA CIR,Residential,95835,0.2926150226609106,0.18506740177080558,0.26468567502576434,0.26502985114590616
1,3,SACRAMENTO,38.53151,-121.421089,260014.0,Wed May 21 00:00:00 EDT 2008,1018,CA,4900 71ST ST,Residential,95820,0.29263087341025473,0.18516855632080542,0.17485400206114737,-0.34806560341496406
0,0,RANCHO CORDOVA,38.553867,-121.219141,263500.0,Wed May 21 00:00:00 EDT 2008,0,CA,12209 CONSERVANCY WAY,Residential,95742,0.2965777099969544,0.21035603927076413,0.0,-1.5414330465181494
2,3,SACRAMENTO,38.648879,-121.544023,265000.0,Wed May 21 00:00:00 EDT 2008,1672,CA,4236 NATOMAS CENTRAL DR,Condo,95834,0.2982760045695446,0.22119402677074637,0.28718653383716936,0.4185967814470037
2,3,POLLOCK PINES,38.708315,-120.603872,265000.0,Wed May 21 00:00:00 EDT 2008,1380,CA,5615 LUPIN LN,Residential,95726,0.2982760045695446,0.22119402677074637,0.23703194778426656,0.07629492153921381
1,3,SACRAMENTO,38.523947,-121.484946,271742.0,Wed May 21 00:00:00 EDT 2008,975,CA,5625 JAMES WAY,Residential,95822,0.3059092725751467,0.26990716792066655,0.16746822397801442,-0.3984730690863167
3,4,SACRAMENTO,38.472976,-121.318633,273750.0,Wed May 21 00:00:00 EDT 2008,2372,CA,7842 LAHONTAN CT,Residential,95829,0.30818272290965415,0.2844156205206428,0.40742013053933357,1.2391834319108836
2,3,SACRAMENTO,38.502194,-121.490795,275086.0,Wed May 21 00:00:00 EDT 2008,1446,CA,6850 21ST ST,Residential,95822,0.30969533727564114,0.294068654720627,0.24836825833047063,0.15366452001152248
2,2,POLLOCK PINES,38.75485,-120.60476,280908.0,Wed May 21 00:00:00 EDT 2008,1284,CA,2900 BLAIR RD,Residential,95726,0.31628698461005456,0.336134496870558,0.22054276880796977,-0.03624267623868971
3,4,SACRAMENTO,38.474099,-121.490711,280987.0,Wed May 21 00:00:00 EDT 2008,3009,CA,2064 EXPEDITION WAY,Residential,95832,0.316376428124211,0.3367052975455571,0.516832703538303,1.9859172838330141
4,8,SACRAMENTO,38.559505,-121.364839,282400.0,Wed May 21 00:00:00 EDT 2008,3612,CA,2912 NORCADE CIR,Multi-Family,95826,0.31797622161159095,0.34691468177054036,0.6204053589831673,2.692794069875471
2,4,ELK GROVE,38.410992,-121.479043,285000.0,Wed May 21 00:00:00 EDT 2008,2056,CA,9507 SEA CLIFF WAY,Residential,95758,0.32091993220408066,0.36570052677050957,0.35314324974235656,0.8687471725586178
2,4,ELK GROVE,38.4439,-121.37255,287417.0,Wed May 21 00:00:00 EDT 2008,1993,CA,8882 AUTUMN GOLD CT,Residential,95624,0.32365645085871436,0.38316413729548093,0.3423222260391618,0.7948943740168686
2,3,ELK GROVE,38.391538,-121.442596,291000.0,Wed May 21 00:00:00 EDT 2008,1857,CA,5322 WHITE LOTUS WAY,Residential,95757,0.32771311049444146,0.40905247677043854,0.3189625558227413,0.6354661104981719
1,2,SACRAMENTO,38.556098,-121.490787,292024.0,Wed May 21 00:00:00 EDT 2008,1126,CA,1838 CASTRO WAY,Residential,95818,0.32887247958932975,0.4164512095704264,0.19340432840948127,-0.2214608059148226
4,4,SACRAMENTO,38.5703,-121.315735,297000.0,Wed May 21 00:00:00 EDT 2008,2213,CA,10158 CRAWFORD WAY,Multi-Family,95827,0.3345062887848023,0.4524044267703675,0.380109927859842,1.052793035591231
3,5,ELK GROVE,38.442031,-121.410873,297000.0,Wed May 21 00:00:00 EDT 2008,2494,CA,7731 MASTERS ST,Residential,95758,0.3345062887848023,0.4524044267703675,0.42837512882171075,1.3821999624203025
2,3,ELK GROVE,38.40154,-121.447649,298000.0,Wed May 21 00:00:00 EDT 2008,1843,CA,4925 PERCHERON DR,Residential,95757,0.3356384851665291,0.45962975177035564,0.31655788388869804,0.6190543774888944
2,2,GOLD RIVER,38.62869,-121.261669,299000.0,Wed May 21 00:00:00 EDT 2008,1520,CA,2010 PROMONTORY POINT LN,Residential,95670,0.3367706815482559,0.4668550767703438,0.2610786671246994,0.2404122516319898
3,5,SACRAMENTO,38.658182,-121.549521,304037.0,Wed May 21 00:00:00 EDT 2008,2800,CA,4727 SAVOIE WAY,Residential,95835,0.34247355472301383,0.5032490387952842,0.4809343868086568,1.74091355533737
2,4,ELK GROVE,38.442352,-121.389675,311000.0,Wed May 21 00:00:00 EDT 2008,2309,CA,8664 MAGNOLIA HILL WAY,Residential,95624,0.35035703812897756,0.5535589767702017,0.3965991068361388,1.1653306333691344
3,5,SACRAMENTO,38.555993,-121.340352,315537.0,Wed May 21 00:00:00 EDT 2008,2367,CA,9570 HARVEST ROSE WAY,Residential,95827,0.35549381311287204,0.5863402762951481,0.4065613191343181,1.2333220986932845
4,5,RANCHO CORDOVA,38.54512800000001,-121.224922,320000.0,Wed May 21 00:00:00 EDT 2008,3516,CA,4359 CREGAN CT,Residential,95742,0.3605468055645188,0.6185869017700951,0.6039161800068705,2.580256472097567
0,0,RANCHO CORDOVA,38.528575,-121.2286,320000.0,Wed May 21 00:00:00 EDT 2008,0,CA,5337 DUSTY ROSE WAY,Residential,95742,0.3605468055645188,0.6185869017700951,0.0,-1.5414330465181494
3,4,SACRAMENTO,38.550848,-121.370224,328360.0,Wed May 21 00:00:00 EDT 2008,1914,CA,8929 SUTTERS GOLD DR,Residential,95826,0.37001196731575486,0.6789906187699962,0.32875300583991757,0.7022853091788022
1,2,ORANGEVALE,38.71147,-121.216214,334150.0,Wed May 21 00:00:00 EDT 2008,1690,CA,8025 PEERLESS AVE,Residential,95662,0.37656738436595305,0.7208252505199276,0.290278254895225,0.4396975810303606
